All Standings,,,,,
,,,,,
This Week Rank,Last Week Rank,Player,Points,# of Wins,# of Top-10s
1,1,Scottie Scheffler,"4,806",4,13
2,2,Rory McIlroy,"3,444",3,8
3,3,Sepp Straka,"2,595",2,6
4,4,Russell Henley,"2,391",1,9
5,5,Justin Thomas,"2,280",1,7
6,7,Ben Griffin,"2,275",2,8
7,6,Harris English,"2,232",1,4
8,8,J.J. Spaun,"2,144",1,5
9,9,Tommy Fleetwood,"1,783",-,5
10,10,Keegan Bradley,"1,749",1,5
11,11,Maverick McNealy,"1,672",-,6
12,12,Andrew Novak,"1,625",1,4
13,13,Corey Conners,"1,620",-,6
14,14,Ludvig Åberg,"1,559",1,4
15,15,Robert MacIntyre,"1,488",-,5
16,40,Cameron Young,"1,464",1,5
17,16,Shane Lowry,"1,438",-,4
18,17,Nick Taylor,"1,438",1,3
19,18,Collin Morikawa,"1,427",-,4
20,19,Brian Harman,"1,413",1,4
21,23,Hideki Matsuyama,"1,309",1,1
22,20,Chris Gotterup,"1,306",1,3
23,21,Patrick Cantlay,"1,275",-,3
24,22,Sam Burns,"1,266",-,4
25,24,Justin Rose,"1,220",-,4
26,25,Viktor Hovland,"1,210",1,2
27,26,Lucas Glover,"1,191",-,5
28,27,Sam Stevens,"1,182",-,3
29,30,Sungjae Im,"1,172",-,3
30,28,Daniel Berger,"1,167",-,2
31,29,Ryan Gerard,"1,158",1,4
32,31,Ryan Fox,"1,126",2,2
33,33,Jacob Bridgeman,"1,111",-,5
34,32,Brian Campbell,"1,104",2,2
35,34,Thomas Detry,"1,080",1,2
36,35,Michael Kim,"1,080",-,3
37,36,Jason Day,"1,070",-,4
38,37,Taylor Pendrith,"1,035",-,4
39,39,Denny McCarthy,"1,034",-,2
40,38,Tom Hoge,"1,026",-,4
41,43,Matt Fitzpatrick,"1,017",-,5
42,41,Xander Schauffele,953,-,3
43,42,Aldrich Potgieter,941,1,3
44,46,Harry Hall,929,-,4
45,44,Akshay Bhatia,909,-,3
46,45,Si Woo Kim,882,-,2
47,47,Jake Knapp,871,-,4
48,50,Jordan Spieth,865,-,4
49,48,Wyndham Clark,853,-,2
50,49,Min Woo Lee,851,1,1
51,54,J.T. Poston,850,-,1
52,53,Kurt Kitayama,842,1,3
53,51,Bud Cauley,831,-,4
54,52,Joe Highsmith,828,1,2
55,58,Aaron Rai,811,-,2
56,55,Jhonattan Vegas,783,-,2
57,56,Max Greyserman,768,-,2
58,57,Stephan Jaeger,726,-,3
59,59,Mackenzie Hughes,704,-,3
60,60,Tony Finau,690,-,1
61,73,Chris Kirk,682,-,2
62,65,Nico Echavarria,672,-,2
63,68,Patrick Rodgers,668,-,1
64,61,Rickie Fowler,665,-,1
65,62,Davis Riley,652,-,3
66,63,Kevin Yu,645,-,2
67,66,Emiliano Grillo,637,-,1
68,64,Erik van Rooyen,634,-,3
69,67,Cam Davis,625,-,1
70,70,Matti Schmid,620,-,4
71,78,Davis Thompson,615,-,1
72,75,Gary Woodland,599,-,1
73,71,Nicolai Højgaard,596,-,3
74,69,Byeong Hun An,595,-,2
75,72,Keith Mitchell,589,-,2
76,74,Christiaan Bezuidenhout,579,-,1
77,98,Mark Hubbard,558,-,3
78,76,Kevin Roy,556,-,3
79,77,Alex Smalley,554,-,2
80,79,Eric Cole,549,-,2
81,80,William Mouw,542,1,3
82,84,Matt McCarty,535,-,2
83,83,Karl Vilips,515,1,2
84,81,Ryo Hisatsune,504,-,4
85,82,Rasmus Højgaard,500,-,1
86,152,Mac Meissner,495,-,1
87,86,Sami Valimaki,463,-,2
88,87,Michael Thorbjornsen,454,-,3
89,96,Beau Hossler,453,-,1
90,85,Adam Scott,451,-,-
91,88,David Lipsky,442,-,3
92,92,Matt Wallace,439,-,1
93,101,Joel Dahmen,433,-,3
94,89,Tom Kim,426,-,1
95,108,Patrick Fishburn,423,-,4
96,90,Andrew Putnam,423,-,2
